mapX,mapY,sourceX,sourceY,enable
171949.12905526737,1131418.9017616645,2044.9252,-3506.7605,1
171793.19088154542,1131373.748227928,1778.8218,-3563.9456,1
172262.94486850768,1132171.7697156854,2451.0405,-2358.7478,1
171878.56815733292,1132197.599369168,1942.075,-2371.777,1
172001.05317415617,1132106.9406889253,1966.0828,-2482.525,1
172758.8249408476,1132071.487483167,3108.8545,-2554.1853,1
172792.50886253832,1132017.8573935386,3214.489,-2560.7,1
172278.30294772438,1131972.4920258445,2465.4453,-2612.8167,1
172016.17481019878,1131990.2480166254,1990.0907,-2671.448,1
173222.15569929118,1131853.960818782,3968.3342,-2749.6228,1
172821.72029668422,1131853.438089273,3334.528,-2821.2832,1
172049.854117223,1131866.6507867726,2153.3438,-2827.7979,1
171909.2583905439,1131830.8268691413,1927.6703,-2905.973,1
173280.41656987916,1131701.711139684,4073.9685,-2977.6333,1
172217.11251604077,1131734.1961856282,2393.4219,-2990.6626,1
171754.27970748272,1131798.5434482314,1682.7905,-3010.2063,1
172440.37924249907,1131614.4074054924,2739.1343,-3238.2166,1
172169.16392234032,1131560.5311712946,2350.2078,-3277.3042,1
171832.88559983406,1131540.308519371,1860.4485,-3342.45,1
172557.1570619483,1131482.6511382062,2921.5938,-3394.5667,1
171866.85909953923,1131277.6437434913,1932.4719,-3726.8105,1
171751.98112561466,1131185.4008635883,1759.6156,-3857.102,1
171615.0138790012,1131182.1384574661,1490.7281,-3889.6748,1
171884.43494347928,1131155.5510312608,1942.075,-3915.7334,1
171883.41514950607,1131058.842131684,1922.8687,-4072.0833,1
171826.69728338518,1130979.2357848978,1889.2578,-4189.3457,1
171866.56175305188,1130830.1861368255,1894.0593,-4449.929,1
171724.93102979744,1130755.1582521244,1754.814,-4554.162,1
